Modell,TestVariante,Variation,InferenceTime,GPU_Belegt_MB,GPU_Reserviert_MB,Size_MB,Params
swin_tiny_patch4_window7_224,celebdf_only,standard,0.001193,117.37,946.00,105.06,27520892
swin_tiny_patch4_window7_224,celebdf_only,jpeg,0.000219,125.51,1026.00,105.06,27520892
swin_tiny_patch4_window7_224,celebdf_only,noisy,0.000225,125.51,1026.00,105.06,27520892
swin_tiny_patch4_window7_224,celebdf_only,scaled,0.000213,125.51,1026.00,105.06,27520892
vit_base_patch16_224,celebdf_only,standard,0.000154,346.48,1026.00,327.36,85800194
vit_base_patch16_224,celebdf_only,jpeg,0.000107,346.48,1616.00,327.36,85800194
vit_base_patch16_224,celebdf_only,noisy,0.000101,346.48,1616.00,327.36,85800194
vit_base_patch16_224,celebdf_only,scaled,0.000101,346.48,1616.00,327.36,85800194
efficientnet_b4,celebdf_only,standard,0.000576,86.72,1616.00,67.69,17552202
efficientnet_b4,celebdf_only,jpeg,0.000287,86.72,1744.00,67.69,17552202
efficientnet_b4,celebdf_only,noisy,0.000298,86.72,1744.00,67.69,17552202
efficientnet_b4,celebdf_only,scaled,0.000281,86.72,1744.00,67.69,17552202
xception41,celebdf_only,standard,0.000264,115.93,1940.00,95.70,24924658
xception41,celebdf_only,jpeg,0.000138,115.93,1940.00,95.70,24924658
xception41,celebdf_only,noisy,0.000143,115.93,1940.00,95.70,24924658
xception41,celebdf_only,scaled,0.000139,115.93,1940.00,95.70,24924658
mobilenet_v2,celebdf_only,standard,0.000183,27.39,1940.00,8.73,2226434
mobilenet_v2,celebdf_only,jpeg,0.000093,27.39,1940.00,8.73,2226434
mobilenet_v2,celebdf_only,noisy,0.000099,27.39,1940.00,8.73,2226434
mobilenet_v2,celebdf_only,scaled,0.000090,27.39,1940.00,8.73,2226434
swin_tiny_patch4_window7_224,celebdf_ff,standard,0.000209,123.78,1940.00,105.06,27520892
swin_tiny_patch4_window7_224,celebdf_ff,jpeg,0.000206,123.78,1940.00,105.06,27520892
swin_tiny_patch4_window7_224,celebdf_ff,noisy,0.000209,123.78,1940.00,105.06,27520892
swin_tiny_patch4_window7_224,celebdf_ff,scaled,0.000205,123.78,1940.00,105.06,27520892
vit_base_patch16_224,celebdf_ff,standard,0.000096,344.75,1940.00,327.36,85800194
vit_base_patch16_224,celebdf_ff,jpeg,0.000095,344.75,1940.00,327.36,85800194
vit_base_patch16_224,celebdf_ff,noisy,0.000099,344.75,1940.00,327.36,85800194
vit_base_patch16_224,celebdf_ff,scaled,0.000096,344.75,1940.00,327.36,85800194
efficientnet_b4,celebdf_ff,standard,0.000265,85.00,1940.00,67.69,17552202
efficientnet_b4,celebdf_ff,jpeg,0.000268,85.00,1940.00,67.69,17552202
efficientnet_b4,celebdf_ff,noisy,0.000262,85.00,1940.00,67.69,17552202
efficientnet_b4,celebdf_ff,scaled,0.000266,85.00,1940.00,67.69,17552202
xception41,celebdf_ff,standard,0.000134,114.21,1940.00,95.70,24924658
xception41,celebdf_ff,jpeg,0.000132,114.21,1940.00,95.70,24924658
xception41,celebdf_ff,noisy,0.000134,114.21,1940.00,95.70,24924658
xception41,celebdf_ff,scaled,0.000131,114.21,1940.00,95.70,24924658
mobilenet_v2,celebdf_ff,standard,0.000093,25.67,1940.00,8.73,2226434
mobilenet_v2,celebdf_ff,jpeg,0.000090,25.67,1940.00,8.73,2226434
mobilenet_v2,celebdf_ff,noisy,0.000094,25.67,1940.00,8.73,2226434
mobilenet_v2,celebdf_ff,scaled,0.000090,25.67,1940.00,8.73,2226434
swin_tiny_patch4_window7_224,celebdf_train_ff_test,standard,0.000206,123.78,1940.00,105.06,27520892
swin_tiny_patch4_window7_224,celebdf_train_ff_test,jpeg,0.000199,123.78,1940.00,105.06,27520892
swin_tiny_patch4_window7_224,celebdf_train_ff_test,noisy,0.000202,123.78,1940.00,105.06,27520892
swin_tiny_patch4_window7_224,celebdf_train_ff_test,scaled,0.000199,123.78,1940.00,105.06,27520892
vit_base_patch16_224,celebdf_train_ff_test,standard,0.000097,344.75,1940.00,327.36,85800194
vit_base_patch16_224,celebdf_train_ff_test,jpeg,0.000098,344.75,1940.00,327.36,85800194
vit_base_patch16_224,celebdf_train_ff_test,noisy,0.000097,344.75,1940.00,327.36,85800194
vit_base_patch16_224,celebdf_train_ff_test,scaled,0.000099,344.75,1940.00,327.36,85800194
efficientnet_b4,celebdf_train_ff_test,standard,0.000265,85.00,1940.00,67.69,17552202
efficientnet_b4,celebdf_train_ff_test,jpeg,0.000270,85.00,1940.00,67.69,17552202
efficientnet_b4,celebdf_train_ff_test,noisy,0.000273,85.00,1940.00,67.69,17552202
efficientnet_b4,celebdf_train_ff_test,scaled,0.000266,85.00,1940.00,67.69,17552202
xception41,celebdf_train_ff_test,standard,0.000139,114.21,1940.00,95.70,24924658
xception41,celebdf_train_ff_test,jpeg,0.000133,114.21,1940.00,95.70,24924658
xception41,celebdf_train_ff_test,noisy,0.000131,114.21,1940.00,95.70,24924658
xception41,celebdf_train_ff_test,scaled,0.000133,114.21,1940.00,95.70,24924658
mobilenet_v2,celebdf_train_ff_test,standard,0.000092,25.67,1940.00,8.73,2226434
mobilenet_v2,celebdf_train_ff_test,jpeg,0.000088,25.67,1940.00,8.73,2226434
mobilenet_v2,celebdf_train_ff_test,noisy,0.000089,25.67,1940.00,8.73,2226434
mobilenet_v2,celebdf_train_ff_test,scaled,0.000090,25.67,1940.00,8.73,2226434
